collected_videos_count,collection_time,id,nickname,followers,hearts
10.0,1674148847346.0,xipi.vn,XIPI,1986.0,2088.0
10.0,1674149260560.0,bustubigsize,BUstu Bigsize,164.0,284.0
10.0,1674148694021.0,monotalkvn,Mono Talk,1406.0,10600.0
10.0,1674148731344.0,boldbikinivn,BOLD BIKINI SWIMWEAR,696.0,14000.0
10.0,1674149004884.0,tosonfashion,Tosonfashion,238.0,1347.0
10.0,1674148759027.0,mixshophcm,Mix-Shop Hcm,1204.0,647.0
10.0,1674148927477.0,devons.studio,Devons.studio,2812.0,3253.0
10.0,1674150222276.0,glk168,Linh Pii,2200000.0,39400000.0
10.0,1674148721039.0,ab_house_7,Ab_house,135100.0,765800.0
10.0,1674149092549.0,hariwonday,Hari Won(원하리),3500000.0,40600000.0
10.0,1674149246077.0,jubinstudio,Jubin Studio,21900.0,371300.0
10.0,1674148537130.0,thedoomsday.vn,thedoomsday.vn,1412.0,5599.0
10.0,1674150350351.0,trangsucdebac,DẾ BẠC OFFICIAL,21100.0,98200.0
10.0,1674148555429.0,nobsilver,nobsilver306,48700.0,874700.0
10.0,1674148602091.0,dincoxofficial,Dincox Official,57.0,152.0
10.0,1674149529976.0,bangnganfoto,Băng Ngân Hứa,74800.0,1000000.0
10.0,1674148927927.0,olala.studio,Olala Studio,368.0,6299.0
10.0,1674149271666.0,5am.saigon,5am.saigon,12500.0,133600.0
10.0,1674150758795.0,blackmiack,BM couple ne,236500.0,5200000.0
10.0,1674149259203.0,jennymalc,Malcolm,7128.0,435000.0
10.0,1674149318249.0,petbychang2011,Petbychang,55300.0,182400.0
10.0,1674149080125.0,tiemcaiquan,Tiệm Cái Quần,168300.0,2500000.0
10.0,1674148890353.0,minbyann.studio,Min by Ann,6917.0,50800.0
10.0,1674149311535.0,kinhmatjimmycharice,Jimmy & Charice,55600.0,156300.0
10.0,1674148704225.0,youandyourshop,You And Your Shop,171.0,363.0
10.0,1674148831162.0,tipblu.vn,tipblu,8804.0,87700.0
10.0,1674148842520.0,eleanor.vn,Eleanor Accessories,207.0,304.0
10.0,1674150036121.0,themavensaigon,The MAVEN Saigon,2235.0,1057.0
10.0,1674148660413.0,clownzvn,ClownZ,24000.0,250700.0
10.0,1674234730295.0,clelie.vn,CLÉLIE,12900.0,40500.0
10.0,1674148804249.0,eulachamday,bắm,7931.0,51300.0
10.0,1674150307915.0,moochou.vn,Nàng thơ thành thị,1187.0,486.0
10.0,1674149249244.0,lilyeyewear,Kinh Mat Lily,66400.0,1100000.0
10.0,1674148679830.0,hthuy_toui,hthuy_toui1,45100.0,1500000.0
10.0,1674148921437.0,gihy.lumos,Gihy.lumos,2524.0,3225.0
10.0,1674149177168.0,fiona.accessories,Cửa hàng phụ kiện Fiona,4942.0,19000.0
10.0,1674150022881.0,lechi.official,Lê Chi,177200.0,2200000.0
10.0,1674148726557.0,.chang200_4,Nguyễn Thị Hồng Thắm,631100.0,6700000.0
10.0,1674148660400.0,poesi.vn,poesi.vn,483.0,11200.0
10.0,1674148667531.0,pagina.studio,PAGINA,5557.0,28500.0
10.0,1674148849166.0,darlingismconcept,darling.ism,209000.0,2500000.0
10.0,1674150155810.0,tuanhthichanbundau,Người chơi hệ review,185600.0,3200000.0
10.0,1674148644072.0,kate_by_linh_nguyen,Kate_By_Linh_Nguyen,116.0,374.0
10.0,1674148662721.0,fuwafuwayi_,Mạc Phương Vi rất iu Xiao,170100.0,6400000.0
10.0,1674148644043.0,fakenth,Nguyễn Thu Hường 🤍,693600.0,18500000.0
10.0,1674149663518.0,nga_wendy,N G A,8135.0,70300.0
10.0,1674148810106.0,ddreamer.jewelry,Trang Sức Bạc 925 Ddreamer,611.0,1131.0
10.0,1674148822405.0,vietgangz.original,Vietgangz Origial,38700.0,804200.0
10.0,1674148922634.0,tiin.moment,Tiin Store,21200.0,464400.0
10.0,1674150283101.0,nhakholiti,Nhà Kho Liti,41.0,38.0
10.0,1674148813796.0,senyda.jewelry,Senyda Jewelry,5.0,8.0
10.0,1674148677267.0,l.ii.n_clothingtamkhuong,L.ii.n_ClothingTamKhuong,106.0,87.0
10.0,1674148732206.0,embesue,💫💜 Mai Mỹ Uyên ❄️✨,19400.0,252000.0
10.0,1674148553126.0,pthv5,🔮Tiểu Vyy🔮,2300000.0,40000000.0
10.0,1674148721548.0,d.chic_official,D.CHIC_Official,833.0,721.0
10.0,1674148747366.0,hani.clothing,HaNi,1071.0,7456.0
10.0,1674149309862.0,asapprettymary,maroomalllaav,8647.0,76700.0
10.0,1674149159146.0,emwearvn,Emwearvn,220.0,132.0
10.0,1674148872074.0,teeworld.offical,Teeworld Offical,1904.0,58800.0
10.0,1674149336978.0,lilygumi,lilygumi,291100.0,2300000.0
10.0,1674148655339.0,atous.clothing,À Tous Clothing,30.0,145.0
10.0,1674148813330.0,8yostudio,8YO,47900.0,408300.0
10.0,1674149525526.0,kimanh6197,Kim Anh,121100.0,1600000.0
10.0,1674148557723.0,draconids.mf1111,🌟 DRAY🌟Doãn Quốc Hạ Nhi cọc,491900.0,16000000.0
10.0,1674148937971.0,veosbykhanh,VEO’S,5295.0,12000.0
10.0,1674148606260.0,quynhnhu__1,Nguyễn Thị Quỳnh Như,246.0,940.0
10.0,1674149182683.0,1996.byhiin,1996.byhiin,2002.0,13800.0
10.0,1674148984199.0,meh_studio,MEH_STUDIO,23.0,255.0
10.0,1674148633370.0,her25officical,HER25,234500.0,3500000.0
10.0,1674149148029.0,ariustees,Outfits by Ariustees,32.0,615.0
10.0,1674148677258.0,calmbunny,CALMBUNNY,17000.0,69600.0
10.0,1674148527474.0,tebivietnam,Tebi,823.0,828.0
10.0,1674149742645.0,ryactiveofficial,RYACTIVE,47900.0,75000.0
10.0,1674148628974.0,narcystudio,Narcystudio,43.0,47.0
10.0,1674148466627.0,richness.studio,RICHNESS WORLDWIDE,16700.0,173800.0
10.0,1674149294169.0,nha.banhh,Bành Housee,3199.0,85500.0
10.0,1674149929296.0,ldv.officiel,Lesavril de Vetements,20400.0,18100.0
10.0,1674148606646.0,toptify,Toptify,9192.0,1204.0
10.0,1674148888581.0,by.tranghoangth,tủ đồ sắc màu 🍭,153.0,3657.0
10.0,1674149917578.0,nowsaigon,NOWSAIGON,21600.0,13800.0
10.0,1674148727062.0,and.casually19,AND CASUALLY,8678.0,1490.0
10.0,1674148570482.0,lonascorner,Lona's Corner,11700.0,16800.0
10.0,1674150212947.0,cara.club,caraclub,4450.0,36200.0
10.0,1674148603857.0,cecicela.official,Ceci Cela,15100.0,13000.0
10.0,1674149092571.0,pur.bras,pur.braslove,17.0,92.0
10.0,1674149585873.0,sgzupstore,SAIGONZUP Store & Uniform,21.0,619.0
10.0,1674148648755.0,siblinghouse,Siblinghouse,1258.0,1755.0
10.0,1672681004171.0,quynanhtran._,Quỳnh Anh,1200000.0,23400000.0
10.0,1672767143990.0,vanniebui131,Bùi Tường Vân,18800.0,323300.0
500.0,1651572844201.0,babyariel,BabyAriel,35700000.0,1900000000.0
10.0,1670598655933.0,_ttuanh,Sii Anh Tú,36700.0,800200.0
4.0,1670253063054.0,wetran.l,Luong Que Tran,19.0,33.0
10.0,1670130547801.0,banhhousee,Bành Housee,113.0,788.0
10.0,1670512346880.0,cher_studio,Cher_studios,133700.0,670100.0
10.0,1670512427887.0,kimdee_le,kimdee_le,6722.0,50700.0
10.0,1670253033417.0,chibest_store,Chibest,1703.0,1251.0
10.0,1675790103660.0,theshilla.official,THESHILLA.OFFICIAL,66900.0,220500.0
9.0,1677345789588.0,eleanoraccessories,Eleanoraccessories,6.0,65.0
10.0,1677345737722.0,quachtana,quachtana,57.0,138.0
10.0,1677346158395.0,crispusclo,Crispus xin chèo!,305.0,477.0
10.0,1677345269941.0,bliss_clothes99,Bliss,536.0,2704.0
10.0,1677345871764.0,thefrecklestudios,thefrecklestudios,14900.0,92300.0
10.0,1679419064746.0,karlotta_concept,karlotta concept,83.0,101.0
55.0,1677993628658.0,rinrin_collection,Rinrin Collection Tiktok,26300.0,302400.0
343.0,1677993746764.0,girlfashionstory.oficial,Girl Fashion Story,54300.0,45600.0
358.0,1677993333786.0,blashfashion,BLASH FASHION,48600.0,136200.0
510.0,1677993970282.0,nuritari_,Nuritari_Id,491000.0,2200000.0
367.0,1677994130228.0,rajashopbali,Raja shop bali,4993.0,3348.0
